"filename", "language", "pip requirements", "Python", "HTML", "Markdown", "comment", "blank", "total"
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0005_startingroom_alter_summeryofletter_time.py", "Python", 0, 21, 0, 0, 1, 6, 28
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0006_alter_summeryofletter_time.py", "Python", 0, 13, 0, 0, 1, 6, 20
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0007_alter_summeryofletter_time.py", "Python", 0, 13, 0, 0, 1, 6, 20
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0008_delete_startingroom_alter_summeryofletter_time.py", "Python", 0, 16, 0, 0, 1, 6, 23
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0009_alter_summeryofletter_time.py", "Python", 0, 13, 0, 0, 1, 6, 20
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0010_alter_summeryofletter_time.py", "Python", 0, 13, 0, 0, 1, 6, 20
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0011_alter_summeryofletter_time.py", "Python", 0, 13, 0, 0, 1, 6, 20
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0012_array_alter_summeryofletter_time.py", "Python", 0, 21, 0, 0, 1, 6, 28
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0013_alter_array_status_alter_summeryofletter_time.py", "Python", 0, 18, 0, 0, 1, 6, 25
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0014_alter_array_status_alter_summeryofletter_time.py", "Python", 0, 18, 0, 0, 1, 6, 25
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0015_players_alter_summeryofletter_time.py", "Python", 0, 21, 0, 0, 1, 6, 28
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0016_alter_players_players_alter_summeryofletter_time.py", "Python", 0, 18, 0, 0, 1, 6, 25
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0017_alter_adnan_test11_letter_alter_summeryofletter_time.py", "Python", 0, 18, 0, 0, 1, 6, 25
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0018_alter_summeryofletter_time.py", "Python", 0, 13, 0, 0, 1, 6, 20
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0019_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0020_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0021_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0022_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0023_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0024_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0025_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0026_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0027_room_created_alter_summeryofletter_time.py", "Python", 0, 24, 0, 0, 1, 6, 31
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0028_alter_room_created_room_created_and_more.py", "Python", 0, 19, 0, 0, 1, 6, 26
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0029_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0030_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0031_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0032_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
